id,code_bc,name,short_name,bic,country:id,ispb_number,compe_member,acc_number_format
res_bank_89,157,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,ICAP DO BRASIL CTVM LTDA.,,base.br,9105360,0,%(acc_number)s
res_bank_90,159,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor,CASA CREDITO S.A. SCM,,base.br,5442029,0,%(acc_number)s
res_bank_91,163,Commerzbank Brasil S.A. - Banco Múltiplo,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,,base.br,23522214,0,%(acc_number)s
res_bank_92,169,Banco Olé Bonsucesso Consignado S.A.,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,,base.br,71371686,0,%(acc_number)s
res_bank_93,173,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.,BRL TRUST DTVM SA,,base.br,13486793,0,%(acc_number)s
res_bank_94,174,"PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",PERNAMBUCANAS FINANC S.A. CFI,,base.br,43180355,0,%(acc_number)s
res_bank_95,177,Guide Investimentos S.A. Corretora de Valores,GUIDE,,base.br,65913436,0,%(acc_number)s
res_bank_96,180,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",CM CAPITAL MARKETS CCTVM LTDA,,base.br,2685483,0,%(acc_number)s
res_bank_97,183,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P,SOCRED SA - SCMEPP,,base.br,9210106,0,%(acc_number)s
res_bank_98,184,Banco Itaú BBA S.A.,BCO ITAÚ BBA S.A.,CBBABRSP,base.br,17298092,0,%(acc_number)s
res_bank_99,188,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES",ATIVA S.A. INVESTIMENTOS CCTVM,,base.br,33775974,0,%(acc_number)s
res_bank_100,189,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",HS FINANCEIRA,,base.br,7512441,0,%(acc_number)s
res_bank_101,190,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN,SERVICOOP,,base.br,3973814,0,%(acc_number)s
res_bank_102,191,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,NOVA FUTURA CTVM LTDA.,,base.br,4257795,0,%(acc_number)s
res_bank_103,194,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,PARMETAL DTVM LTDA,,base.br,20155248,0,%(acc_number)s
res_bank_104,196,FAIR CORRETORA DE CAMBIO S.A.,FAIR CC S.A.,,base.br,32648370,0,%(acc_number)s
res_bank_105,197,Stone Pagamentos S.A.,STONE PAGAMENTOS S.A.,,base.br,16501555,0,%(acc_number)s
res_bank_106,208,Banco BTG Pactual S.A.,BANCO BTG PACTUAL S.A.,BOMGBRS1,base.br,30306294,1,%(acc_number)s
res_bank_107,212,Banco Original S.A.,BANCO ORIGINAL,,base.br,92894922,1,%(acc_number)s
res_bank_108,213,Banco Arbi S.A.,BCO ARBI S.A.,ARBBBRS1,base.br,54403563,1,%(acc_number)s
res_bank_109,217,Banco John Deere S.A.,BANCO JOHN DEERE S.A.,,base.br,91884981,1,%(acc_number)s
res_bank_110,218,Banco BS2 S.A.,BCO BS2 S.A.,BBONBRSP,base.br,71027866,1,%(acc_number)s
res_bank_111,222,BANCO CRÉDIT AGRICOLE BRASIL S.A.,BCO CRÉDIT AGRICOLE BR S.A.,,base.br,75647891,1,%(acc_number)s
res_bank_112,224,Banco Fibra S.A.,BCO FIBRA S.A.,FIBIBRSP,base.br,58616418,1,%(acc_number)s
res_bank_113,233,Banco Cifra S.A.,BANCO CIFRA,,base.br,62421979,0,%(acc_number)s
res_bank_114,237,Banco Bradesco S.A.,BCO BRADESCO S.A.,BBDEBRSP,base.br,60746948,1,%(acc_number)s
res_bank_115,241,BANCO CLASSICO S.A.,BCO CLASSICO S.A.,,base.br,31597552,1,%(acc_number)s
res_bank_116,243,Banco Máxima S.A.,BCO MÁXIMA S.A.,BMAXBRRJ,base.br,33923798,1,%(acc_number)s
res_bank_117,246,Banco ABC Brasil S.A.,BCO ABC BRASIL S.A.,ABCBBRSP,base.br,28195667,1,%(acc_number)s
res_bank_118,249,Banco Investcred Unibanco S.A.,BANCO INVESTCRED UNIBANCO S.A.,,base.br,61182408,1,%(acc_number)s
res_bank_119,250,BCV - BANCO DE CRÉDITO E VAREJO S.A.,BCV,SCHABRSP,base.br,50585090,0,%(acc_number)s
res_bank_120,253,Bexs Corretora de Câmbio S/A,BEXS CC S.A.,,base.br,52937216,0,%(acc_number)s
res_bank_121,254,PARANÁ BANCO S.A.,PARANA BCO S.A.,,base.br,14388334,1,%(acc_number)s
res_bank_122,259,MONEYCORP BANCO DE CÂMBIO S.A.,MONEYCORP BCO DE CÂMBIO S.A.,,base.br,8609934,0,%(acc_number)s
res_bank_123,260,Nu Pagamentos S.A.,NU PAGAMENTOS S.A.,,base.br,18236120,0,%(acc_number)s
res_bank_124,265,Banco Fator S.A.,BCO FATOR S.A.,,base.br,33644196,1,%(acc_number)s
res_bank_125,266,BANCO CEDULA S.A.,BCO CEDULA S.A.,,base.br,33132044,1,%(acc_number)s
res_bank_126,268,BARI COMPANHIA HIPOTECÁRIA,BARI CIA HIPOTECÁRIA,,base.br,14511781,0,%(acc_number)s
res_bank_127,269,BANCO HSBC S.A.,BCO HSBC S.A.,,base.br,53518684,0,%(acc_number)s
